perro,fecha,min_reposo,min_calma,min_activo,min_intenso,min_sin_datos,min_otros,ladridos_total,ladridos_franjas,ladridos_max_30min,fc_media,fc_min,fc_max,fc_n,fr_media,fr_min,fr_max,fr_n,temp_disp_media,temp_disp_max,dia_semana,es_finde,mes
cherry,2026-03-25,998.7666666666657,44.38333333333321,87.98333333333221,0.0,290.18333333333834,18.68333333333334,252.0,15.0,79.0,56.31159420289855,51.0,67.0,138.0,7.935185185185185,5.0,20.0,216.0,25.333333333333332,31,Wednesday,False,3
cherry,2026-03-26,894.0499999999981,53.616666666666056,108.0166666666645,0.0,380.56666666667377,3.749999999999999,884.0,19.0,209.0,58.4,51.0,88.0,60.0,9.26388888888889,6.0,22.0,216.0,23.666666666666668,29,Thursday,False,3
cherry,2026-03-27,910.5166666666653,64.69999999999916,112.44999999999753,0.0,351.81666666667223,0.5166666666666666,181.0,14.0,68.0,57.916666666666664,51.0,96.0,96.0,9.341463414634147,5.0,18.0,164.0,22.153846153846153,37,Friday,False,3
cherry,2026-03-28,913.1666666666663,55.26666666666625,111.54999999999787,0.0,359.4833333333376,0.5333333333333333,184.0,13.0,52.0,57.63,51.0,72.0,100.0,8.620481927710843,6.0,16.0,166.0,20.285714285714285,30,Saturday,True,3
cherry,2026-03-29,862.9499999999979,59.84999999999919,126.99999999999731,0.0,389.9166666666729,0.2833333333333333,217.0,13.0,81.0,57.9080459770115,51.0,84.0,87.0,8.920289855072463,6.0,19.0,138.0,19.6875,30,Sunday,True,3
cherry,2026-03-30,859.2166666666656,60.99999999999925,132.66666666666424,0.0,387.1166666666742,0.0,206.0,11.0,85.0,60.05797101449275,51.0,101.0,69.0,8.675213675213675,6.0,16.0,117.0,21.625,27,Monday,False,3
cherry,2026-03-31,846.6333333333307,66.24999999999915,129.83333333333044,0.0,397.2833333333394,0.0,1054.0,20.0,255.0,61.68041237113402,51.0,92.0,97.0,8.771428571428572,5.0,22.0,105.0,22.8,35,Tuesday,False,3
cherry,2026-04-01,882.5999999999967,71.13333333333232,123.28333333333079,0.0,362.98333333334017,0.0,112.0,10.0,25.0,59.391304347826086,51.0,101.0,46.0,8.854166666666666,5.0,39.0,96.0,23.2,29,Wednesday,False,4
cherry,2026-04-02,849.1666666666667,55.93333333333282,120.21666666666408,0.0,414.63333333334054,0.05,300.0,14.0,92.0,58.333333333333336,51.0,80.0,84.0,8.544303797468354,6.0,21.0,79.0,25.583333333333332,31,Thursday,False,4
cherry,2026-04-03,910.13333333333,60.216666666665965,120.54999999999751,0.0,348.00000000000546,1.0999999999999999,371.0,13.0,166.0,59.54022988505747,51.0,92.0,87.0,8.82716049382716,5.0,18.0,81.0,23.571428571428573,27,Friday,False,4
cherry,2026-04-04,911.1000000000001,61.616666666665964,120.18333333333106,0.0,346.81666666667337,0.2833333333333333,552.0,18.0,158.0,60.929577464788736,51.0,151.0,71.0,9.176470588235293,6.0,16.0,68.0,26.666666666666668,36,Saturday,True,4
cherry,2026-04-05,899.1666666666657,53.999999999999496,111.71666666666465,0.0,374.98333333333863,0.13333333333333333,389.0,10.0,255.0,56.96296296296296,51.0,77.0,81.0,8.781512605042018,5.0,16.0,119.0,24.666666666666668,30,Sunday,True,4
cherry,2026-04-06,830.6166666666661,66.93333333333246,139.83333333333115,0.0,401.6000000000063,1.0166666666666666,71.0,13.0,30.0,57.74193548387097,51.0,77.0,62.0,8.65040650406504,5.0,27.0,123.0,24.333333333333332,30,Monday,False,4
cherry,2026-04-07,927.8499999999979,64.88333333333254,112.49999999999758,0.0,334.2833333333399,0.4833333333333333,155.0,14.0,72.0,61.0,51.0,96.0,74.0,9.268456375838927,5.0,22.0,149.0,23.0,28,Tuesday,False,4
cherry,2026-04-08,887.2833333333311,73.59999999999886,127.49999999999712,0.0,351.31666666667303,0.3,149.0,10.0,103.0,60.178082191780824,51.0,96.0,73.0,8.892156862745098,5.0,18.0,102.0,20.9,24,Wednesday,False,4
cherry,2026-04-09,981.7666666666657,53.11666666666623,91.94999999999852,0.0,312.75000000000335,0.41666666666666663,260.0,12.0,82.0,59.583333333333336,51.0,107.0,72.0,8.425373134328359,6.0,20.0,134.0,28.153846153846153,35,Thursday,False,4
cherry,2026-04-10,1054.6333333333341,41.88333333333317,92.5666666666652,0.0,248.91666666667052,2.0,108.0,5.0,89.0,56.43421052631579,51.0,84.0,76.0,9.058441558441558,5.0,18.0,154.0,28.0,31,Friday,False,4
cherry,2026-04-11,899.1833333333294,55.11666666666602,125.46666666666442,0.0,359.75000000000836,0.4833333333333334,247.0,15.0,104.0,56.986111111111114,51.0,84.0,72.0,8.407766990291263,5.0,15.0,103.0,24.375,31,Saturday,True,4
cherry,2026-04-12,1048.6999999999998,44.68333333333304,86.26666666666543,0.0,259.9666666666709,0.38333333333333336,261.0,15.0,79.0,58.31325301204819,51.0,88.0,83.0,9.968944099378882,6.0,19.0,161.0,19.0,28,Sunday,True,4
cherry,2026-04-13,879.7333333333308,48.23333333333305,101.08333333333148,0.0,410.550000000006,0.4,319.0,19.0,97.0,58.775,50.0,107.0,80.0,8.496503496503497,5.0,12.0,143.0,23.774193548387096,45,Monday,False,4
cherry,2026-04-14,700.8833333333321,54.13333333333274,99.83333333333174,114.86666666666667,469.76666666667575,0.5166666666666666,86.0,9.0,52.0,68.25806451612904,51.0,110.0,31.0,11.702702702702704,8.0,31.0,74.0,25.725490196078432,44,Tuesday,False,4
cherry,2026-04-15,941.1333333333339,49.8166666666664,106.09999999999789,0.0,342.4833333333382,0.4666666666666667,106.0,8.0,81.0,57.0625,51.0,140.0,64.0,9.008333333333333,5.0,15.0,120.0,27.90909090909091,34,Wednesday,False,4
cherry,2026-04-16,871.9166666666633,56.266666666666175,130.34999999999803,0.0,380.68333333334067,0.7833333333333333,357.0,13.0,88.0,59.333333333333336,51.0,92.0,63.0,11.00578034682081,5.0,23.0,173.0,23.25,33,Thursday,False,4
cherry,2026-04-17,1040.7666666666644,39.433333333333266,85.31666666666567,0.0,273.80000000000456,0.6833333333333333,100.0,10.0,62.0,56.9375,51.0,77.0,96.0,9.939914163090128,6.0,35.0,233.0,30.6,35,Friday,False,4
cherry,2026-04-18,982.3666666666647,45.21666666666643,98.24999999999858,0.0,313.5166666666725,0.6499999999999999,98.0,11.0,20.0,58.38775510204081,51.0,92.0,49.0,10.048275862068966,4.0,18.0,145.0,26.333333333333332,34,Saturday,True,4
cherry,2026-04-19,862.6166666666637,53.91666666666617,121.43333333333078,0.0,401.85000000000696,0.18333333333333335,438.0,18.0,117.0,59.76923076923077,51.0,88.0,52.0,10.262857142857143,5.0,35.0,175.0,28.928571428571427,36,Sunday,True,4
cherry,2026-04-20,907.8333333333304,50.01666666666641,100.74999999999821,0.0,380.66666666667356,0.7333333333333334,305.0,18.0,68.0,59.69642857142857,51.0,96.0,56.0,9.04093567251462,6.0,32.0,171.0,27.2,32,Monday,False,4
cherry,2026-04-21,955.0499999999972,50.69999999999974,97.64999999999824,0.0,336.13333333333816,0.4666666666666667,93.0,13.0,24.0,60.79347826086956,51.0,101.0,92.0,9.544117647058824,5.0,16.0,204.0,26.6875,34,Tuesday,False,4
cherry,2026-04-22,859.0166666666636,57.799999999999415,128.89999999999728,0.0,393.9500000000052,0.3333333333333333,111.0,12.0,33.0,58.333333333333336,51.0,121.0,57.0,8.757575757575758,5.0,16.0,132.0,25.857142857142858,33,Wednesday,False,4
cherry,2026-04-23,933.0499999999982,36.2666666666667,98.51666666666515,0.0,371.6166666666728,0.5499999999999999,232.0,14.0,104.0,58.52542372881356,51.0,92.0,59.0,10.875,6.0,26.0,208.0,25.76923076923077,30,Thursday,False,4
