perro,fecha,hora,min_reposo,min_calma,min_activo,min_intenso,min_sin_datos,min_otros
cherry,2026-02-22,0,0.0,0.0,0.0,0.0,60.0,0.0
cherry,2026-02-22,1,0.0,0.0,0.0,0.0,60.0,0.0
cherry,2026-02-22,2,0.0,0.0,0.0,0.0,60.0,0.0
cherry,2026-02-22,3,0.0,0.0,0.0,0.0,60.0,0.0
cherry,2026-02-22,4,0.0,0.0,0.0,0.0,60.0,0.0
cherry,2026-02-22,5,0.0,0.0,0.0,0.0,60.0,0.0
cherry,2026-02-22,6,0.0,0.0,0.0,0.0,60.0,0.0
cherry,2026-02-22,7,0.0,0.0,0.0,0.0,60.0,0.0
cherry,2026-02-22,8,0.0,0.0,0.0,0.0,60.0,0.0
cherry,2026-02-22,9,0.0,0.0,0.0,0.0,60.0,0.0
cherry,2026-02-22,10,0.0,0.0,0.0,0.0,60.0,0.0
cherry,2026-02-22,11,0.0,0.0,0.0,0.0,60.0,0.0
cherry,2026-02-22,12,0.0,0.0,0.0,0.0,60.0,0.0
cherry,2026-02-22,13,0.0,0.0,0.0,0.0,60.0,0.0
cherry,2026-02-22,14,0.0,0.0,0.0,0.0,60.0,0.0
cherry,2026-02-22,15,0.0,0.0,0.0,0.0,60.0,0.0
cherry,2026-02-22,16,0.0,0.0,0.0,0.0,60.0,0.0
cherry,2026-02-22,17,0.0,0.0,0.0,0.0,60.0,0.0
cherry,2026-02-22,18,0.0,0.0,0.0,0.0,60.0,0.0
cherry,2026-02-22,19,34.65,1.5499999999999996,2.449999999999999,0.0,21.350000000000026,0.0
cherry,2026-02-22,20,50.68333333333334,1.4166666666666674,1.0000000000000004,0.0,6.899999999999997,0.0
cherry,2026-02-22,21,56.099999999999994,0.7999999999999999,0.8166666666666665,0.0,2.283333333333333,0.0
cherry,2026-02-22,22,42.81666666666667,1.5166666666666666,2.933333333333331,0.0,12.733333333333341,0.0
cherry,2026-02-22,23,55.93333333333334,1.1333333333333335,0.7500000000000001,0.0,2.183333333333333,0.0
cherry,2026-02-23,0,55.699999999999996,0.7666666666666668,1.0000000000000002,0.0,2.533333333333333,0.0
cherry,2026-02-23,1,55.89999999999999,1.2333333333333336,1.3000000000000003,0.0,1.5666666666666669,0.0
cherry,2026-02-23,2,56.199999999999996,0.9333333333333337,0.8500000000000002,0.0,2.016666666666667,0.0
cherry,2026-02-23,3,55.38333333333333,1.1166666666666667,1.2,0.0,2.2999999999999994,0.0
cherry,2026-02-23,4,55.733333333333334,1.1333333333333337,1.1333333333333335,0.0,1.9999999999999998,0.0
cherry,2026-02-23,5,54.56666666666666,0.8000000000000002,1.5333333333333337,0.0,3.1000000000000005,0.0
cherry,2026-02-23,6,54.23333333333334,0.7333333333333336,1.3333333333333333,0.0,3.6999999999999993,0.0
cherry,2026-02-23,7,37.31666666666668,2.2,2.8500000000000014,0.0,17.633333333333344,0.0
cherry,2026-02-23,8,47.53333333333333,1.2833333333333337,2.116666666666667,0.0,9.066666666666666,0.0
cherry,2026-02-23,9,9.799999999999999,5.8499999999999925,11.466666666666667,0.0,32.883333333333375,0.0
cherry,2026-02-23,10,12.46666666666667,6.116666666666658,11.450000000000006,0.0,29.96666666666673,0.0
cherry,2026-02-23,11,34.11666666666667,0.6,3.783333333333333,0.0,21.500000000000004,0.0
cherry,2026-02-23,12,6.349999999999994,16.00000000000002,14.883333333333347,0.0,22.766666666666705,0.0
cherry,2026-02-23,13,8.099999999999996,18.11666666666668,17.33333333333336,0.0,16.450000000000035,0.0
cherry,2026-02-23,14,13.283333333333323,8.166666666666659,8.883333333333326,0.0,29.66666666666669,0.0
cherry,2026-02-23,15,33.48333333333333,2.8999999999999977,5.416666666666662,0.0,18.200000000000024,0.0
cherry,2026-02-23,16,29.083333333333343,1.8666666666666674,3.216666666666667,0.0,25.833333333333332,0.0
cherry,2026-02-23,17,30.53333333333334,2.316666666666667,4.466666666666666,0.0,22.683333333333344,0.0
cherry,2026-02-23,18,13.066666666666677,5.083333333333329,8.716666666666665,0.0,33.13333333333336,0.0
cherry,2026-02-23,19,23.4,4.233333333333328,7.16666666666666,0.0,25.20000000000003,0.0
cherry,2026-02-23,20,55.099999999999994,1.3500000000000003,1.4333333333333338,0.0,2.116666666666667,0.0
cherry,2026-02-23,21,54.81666666666666,0.7666666666666668,1.3000000000000003,0.0,3.1166666666666663,0.0
cherry,2026-02-23,22,34.266666666666666,1.1500000000000006,4.2333333333333325,0.0,20.350000000000023,0.0
cherry,2026-02-23,23,57.80000000000001,0.5499999999999999,0.6333333333333335,0.0,1.0166666666666668,0.0
cherry,2026-02-24,0,54.69999999999999,0.916666666666667,1.4000000000000004,0.0,2.983333333333332,0.0
cherry,2026-02-24,1,56.56666666666667,0.7500000000000002,0.9666666666666669,0.0,1.7166666666666666,0.0
cherry,2026-02-24,2,56.41666666666666,0.49999999999999994,0.7166666666666667,0.0,2.366666666666667,0.0
cherry,2026-02-24,3,56.383333333333326,0.8000000000000003,1.0000000000000004,0.0,1.8166666666666669,0.0
cherry,2026-02-24,4,54.43333333333334,1.133333333333334,1.5000000000000002,0.0,2.9333333333333327,0.0
cherry,2026-02-24,5,56.483333333333334,0.8166666666666669,0.75,0.0,1.9500000000000004,0.0
cherry,2026-02-24,6,55.86666666666667,0.35,0.8666666666666667,0.0,2.9166666666666674,0.0
cherry,2026-02-24,7,29.750000000000004,6.383333333333326,7.23333333333332,0.0,16.633333333333386,0.0
cherry,2026-02-24,8,24.86666666666667,4.583333333333328,8.049999999999986,0.0,22.50000000000004,0.0
cherry,2026-02-24,9,16.433333333333337,4.733333333333329,8.999999999999996,0.0,29.833333333333375,0.0
cherry,2026-02-24,10,52.233333333333334,1.5166666666666673,1.916666666666667,0.0,4.333333333333332,0.0
cherry,2026-02-24,11,43.25,3.2999999999999976,5.316666666666663,0.0,8.133333333333322,0.0
cherry,2026-02-24,12,40.75000000000001,3.233333333333332,4.466666666666664,0.0,11.55000000000001,0.0
cherry,2026-02-24,13,11.016666666666666,8.633333333333324,14.166666666666684,0.0,26.183333333333366,0.0
cherry,2026-02-24,14,19.366666666666674,7.383333333333322,8.966666666666665,0.0,24.28333333333338,0.0
cherry,2026-02-24,15,17.816666666666677,3.4833333333333316,7.5999999999999925,0.0,31.100000000000026,0.0
cherry,2026-02-24,16,14.166666666666684,4.799999999999996,8.533333333333331,0.0,32.500000000000036,0.0
cherry,2026-02-24,17,16.36666666666667,4.116666666666662,7.966666666666657,0.0,31.550000000000036,0.0
cherry,2026-02-24,18,10.283333333333333,3.7666666666666635,7.9666666666666535,0.0,37.98333333333331,0.0
cherry,2026-02-24,19,34.11666666666666,2.8166666666666664,4.5833333333333295,0.0,18.48333333333335,0.0
cherry,2026-02-24,20,56.25,0.6666666666666669,1.0333333333333339,0.0,2.05,0.0
cherry,2026-02-24,21,42.96666666666667,1.1000000000000003,2.683333333333332,0.0,13.250000000000021,0.0
cherry,2026-02-24,22,56.80000000000001,0.7,1.016666666666667,0.0,1.4833333333333338,0.0
cherry,2026-02-24,23,55.73333333333334,1.1333333333333337,0.9,0.0,2.233333333333334,0.0
cherry,2026-02-25,0,57.43333333333334,0.36666666666666664,0.5833333333333333,0.0,1.6166666666666667,0.0
cherry,2026-02-25,1,57.35000000000001,0.5166666666666666,0.6499999999999999,0.0,1.483333333333334,0.0
cherry,2026-02-25,2,56.28333333333333,0.4666666666666666,0.8333333333333335,0.0,2.4166666666666665,0.0
cherry,2026-02-25,3,55.08333333333334,0.85,1.3,0.0,2.7666666666666657,0.0
cherry,2026-02-25,4,56.8,0.6666666666666667,0.8833333333333333,0.0,1.6500000000000001,0.0
cherry,2026-02-25,5,54.56666666666667,0.966666666666667,1.1500000000000006,0.0,3.3166666666666678,0.0
cherry,2026-02-25,6,35.54999999999999,1.7000000000000008,3.1166666666666654,0.0,19.63333333333335,0.0
cherry,2026-02-25,7,39.15,0.9333333333333338,4.766666666666663,0.0,15.15000000000002,0.0
cherry,2026-02-25,8,54.75,0.6666666666666667,1.266666666666667,0.0,3.3166666666666655,0.0
cherry,2026-02-25,9,15.166666666666677,3.68333333333333,9.116666666666667,0.0,32.03333333333338,0.0
cherry,2026-02-25,10,25.16666666666668,6.633333333333323,10.68333333333334,0.0,17.51666666666669,0.0
cherry,2026-02-25,11,43.31666666666666,2.2,4.38333333333333,0.0,10.1,0.0
cherry,2026-02-25,12,52.71666666666667,1.6666666666666674,1.9333333333333336,0.0,3.683333333333332,0.0
cherry,2026-02-25,13,53.01666666666666,1.2000000000000004,2.083333333333334,0.0,3.6999999999999993,0.0
cherry,2026-02-25,14,22.450000000000017,7.783333333333319,10.083333333333332,0.0,19.68333333333336,0.0
cherry,2026-02-25,15,12.250000000000014,6.049999999999991,8.633333333333328,0.0,33.066666666666684,0.0
cherry,2026-02-25,16,47.31666666666666,1.3,2.1333333333333333,0.0,9.250000000000002,0.0
cherry,2026-02-25,17,6.266666666666666,2.1666666666666674,5.633333333333329,0.0,45.933333333333266,0.0
cherry,2026-02-25,18,42.68333333333333,2.7166666666666646,4.366666666666663,0.0,10.233333333333333,0.0
cherry,2026-02-25,19,46.33333333333333,2.1333333333333346,3.766666666666667,0.0,7.766666666666658,0.0
cherry,2026-02-25,20,24.35,3.4166666666666643,6.299999999999993,0.0,25.93333333333336,0.0
cherry,2026-02-25,21,57.58333333333332,0.5333333333333333,0.7166666666666668,0.0,1.1666666666666667,0.0
cherry,2026-02-25,22,40.249999999999986,1.4,2.7166666666666663,0.0,15.633333333333352,0.0
cherry,2026-02-25,23,58.56666666666668,0.41666666666666663,0.36666666666666664,0.0,0.6500000000000001,0.0
cherry,2026-02-26,0,50.66666666666667,0.983333333333334,1.9000000000000008,0.0,6.449999999999998,0.0
cherry,2026-02-26,1,57.46666666666667,0.4,0.9500000000000002,0.0,1.1833333333333331,0.0
cherry,2026-02-26,2,57.449999999999996,0.4666666666666666,0.6,0.0,1.4833333333333338,0.0
cherry,2026-02-26,3,54.78333333333333,1.0666666666666673,1.0833333333333344,0.0,3.0666666666666664,0.0
cherry,2026-02-26,4,56.90000000000001,1.016666666666667,0.6,0.0,1.4833333333333336,0.0
cherry,2026-02-26,5,57.6,0.8500000000000003,0.6666666666666667,0.0,0.8833333333333335,0.0
cherry,2026-02-26,6,39.98333333333331,1.5833333333333337,4.549999999999998,0.0,13.883333333333347,0.0
cherry,2026-02-26,7,44.199999999999996,0.9833333333333335,1.9000000000000001,0.0,12.916666666666671,0.0
cherry,2026-02-26,8,54.04999999999999,0.9666666666666672,1.5000000000000002,0.0,3.483333333333331,0.0
cherry,2026-02-26,9,15.766666666666689,5.549999999999992,10.05,0.0,28.633333333333397,0.0
cherry,2026-02-26,10,22.05000000000001,3.3499999999999983,6.7999999999999945,0.0,27.800000000000015,0.0
cherry,2026-02-26,11,13.31666666666667,8.583333333333327,11.43333333333335,0.0,26.666666666666707,0.0
cherry,2026-02-26,12,13.916666666666677,8.933333333333323,11.016666666666667,0.0,26.13333333333338,0.0
cherry,2026-02-26,13,6.13333333333333,12.683333333333348,12.866666666666678,0.0,28.316666666666706,0.0
cherry,2026-02-26,14,12.266666666666671,12.250000000000005,14.683333333333355,0.0,20.800000000000015,0.0
cherry,2026-02-26,15,26.616666666666678,4.099999999999997,6.499999999999993,0.0,22.783333333333374,0.0
cherry,2026-02-26,16,13.150000000000006,5.566666666666661,7.4999999999999885,0.0,33.78333333333333,0.0
cherry,2026-02-26,17,28.799999999999994,3.5499999999999994,5.883333333333327,0.0,21.76666666666671,0.0
cherry,2026-02-26,18,53.60000000000001,0.9833333333333336,2.05,0.0,3.3666666666666654,0.0
cherry,2026-02-26,19,36.2,2.4333333333333327,3.799999999999999,0.0,17.566666666666677,0.0
cherry,2026-02-26,20,56.5,0.6166666666666667,1.2,0.0,1.6833333333333333,0.0
cherry,2026-02-26,21,56.05,0.65,1.2833333333333332,0.0,2.0166666666666666,0.0
